,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
963,"They criticise the movement on the grounds that, There is no discussion of even the possibility of founding powerful new political parties, fighting elections, winning office and forming governments with a mandate for fundamental economic and social change "" (p.106).",03 Conflict,Side,elections,,fighting,elections,Elections,fighting,Struggle/War,1997664,,
282,The last thing we can afford is four more years where no one in Washington is watching anyone on Wall Street because politicians and lobbyists killed common-sense regulations.,01 Health and Safety,Threatened,regulations,,killed,regulations,Bureaucracy,killed,Crime,2081766,,
48,We know your side is at least one of two things 1) ignorant-if they think gun restrictions will decrease crime when those laws mainly target honest people 2) dishonest-when they claim that crime control really motivates them when it does not,01 Health and Safety,Protection,gun restrictions,,decrease,gun restrictions,Control of Guns,decrease,Downward Movement,2912865,,
1271,Its work fosters an informed citizenry and strengthens democracy.,05 Engineering and Business: Engineering,Built,democracy,,strengthens,democracy,Democracy,strengthens,Building/Strength,2383810,,
1188,"Metro is reliable and runs underground, the city government operates the RTP bus system and Electric Trolley buses.",05 Engineering and Business: Business,Business,government,,operates,government,Government,operates,Machine,500031,,
1674,"Liberal_in_LA (31,971 posts) Romney's mountain of wealth could cast loud echo, he's a .006 percenter Romney's mountain of wealth could cast loud echo",12 High and Low,Scale,wealth,,mountain,wealth,Wealth,mountain,Hazardous Geographic Feature,762870,,
1417,"Indeed the longtime lobbyist has lobbied for dictatorships and corrupt governments which have stolen elections and enslaved their people, including Equatorial Guinea, Kazakhstan, Eritrea, Bahrain, Gambia, and Thailand.",06 Morality and Justice,Crime,elections,,stolen,elections,Elections,stolen,Theft,2660837,,
1696,"So as he flounders in the sea of gun control, and watches over a security apparatus that ought to have prevented the Bostom Bombings, he might look upon Syria as a chance to change hats to Horatio Hornblower.",13 Nature: Body of Water,Body of Water,gun control,sea of [body of water],sea of,gun control,Control of Guns,sea,Body of Water,2376961,,
849,Don't let democracy win!,03 Conflict,Side,democracy,,win,democracy,Democracy,win,Competition/Game,155634,,
1437,A Democracy steals freedom from its citizens.,06 Morality and Justice,Criminal,democracy,,steals,Democracy,Democracy,steals,Crime/Theft,156255,,
1041,"The top story is about the victory of progressive taxation with the fiscal cliff, the next one is some pro-SSM ""marriage equality"" bull**** and the one following is essentially about wanting a more progressive president and saying Obama is falling short of that.",03 Conflict,Winner,taxation,,victory,taxation,Taxation,victory,Struggle,2669018,,
933,But one reason for opposing smart guns is for the same reason many oppose voter ID laws-it is overly restrictive and will hurt minority groups especially hard due to the higher costs.,03 Conflict,Side,guns,,opposing,guns,Guns,opposing,Struggle,2140487,,
1391,"One anonymous wag once suggested that while a fine is a tax for doing something wrong, tax is a fine for doing something right!",06 Morality and Justice,Crime,doing something right,a fine for [crime],a fine for,tax,Taxation,fine,Crime,29322,,
731,"Latin American countries need to fight poverty more aggressively if they want to grow more and compete with China and other dynamic Asian economies, says a new World Bank report.",03 Conflict,Enemy,poverty,,fight,poverty,Poverty,fight,Struggle,2664423,,
125,"Live Simply - Invest In What MattersThe reality is, wealth can corrupt and poverty can corrupt.",01 Health and Safety,Threat,wealth,,corrupt,wealth,Wealth,corrupt,Contamination,2925057,,
1021,MILLER: Second Amendment crumbling as gun control victories spread,03 Conflict,Winner,gun control,[winner] victories,victories,gun control,Control of Guns,victories,Competition/War,,,
327,You see this executive order as basically nothing that impacts gun owners here in the US.,01 Health and Safety,Threatened,gun owners,impact(s) [threatened],impacts,gun owners,Guns,impacts,Physical Harm,2905723,,
630,Discuss: It's election season...do you have your voters guide?,03 Conflict,Conflict,election,,season,election,Elections,season,Science,2090514,,
473,Facebook0 Twitter0 livefyre Email Print Americans Get a Peek into Constitutional Chasm; Santorum: Still Ferocious Supremes Dive Into Constitutional Chasm on Obama Health Law ADVERTISEMENT ADVERTISEMENT,02 Journey,Barrier,Constitutional,,Chasm,Constitutional,Democracy/Government,Chasm,Barrier,3120126,,
58,"After all, gun control cures cancer and makes every day sunny.",01 Health and Safety,Protection,gun control,,cures,gun control,Control of Guns,cures,Medicine,3123497,,
642,Your generous contributions go directly to the front lines of the gun rights fight.,03 Conflict,Conflict,gun rights,,fight,gun rights,Gun Rights,fight,Struggle,2423917,,
1166,"A gun wouldn't have helped this man unless he was psychotic, though.",04 Power and Control: Human,Servant,gun,,helped,gun,Guns,helped,Servant,2669131,,
1335,"The organization says the housing agency needs to allocate low-income tax credits in a way that helps to dilute poverty, instead of concentrating it.",05 Engineering and Business: Resource,Change Type,DEGRADE,,dilute,poverty,Poverty,dilute,Resource,2378471,,
44,"In a lasseiz-faire society which applies caveat emptor, the government is a remedy to corruption.",01 Health and Safety,Protection,government,,remedy,government,Government,remedy,Disease/Medicine,761854,,
1712,Democracy is a bonfire; the American people kindle the flame.,13 Nature: Fire,Fire,democracy,[fire] is a bonfire,is a bonfire,Democracy,Democracy,bonfire,Fire,163983,,
1358,"It appears that you are unaware that the counting process is an integral part of true democracy, and democracy extracts a very high price on the individual.",05 Engineering and Business: Resource,Extractor,democracy,[extractor] extracts,extracts,democracy,Democracy,extracts,Forceful Extraction/Resource,155851,,
1203,"Advertisement Viking stadium complex would produce taxes By DL News Staff on Apr 10, 2006 at 12:00 a.m. Email Tweet Minnesota would receive $100 million annually in new taxes if the state allows the Vikings to build a stadium and retail complex, senators heard Wednesday.",05 Engineering and Business: Business,Product,taxes,,produce,taxes,Taxation,produce,Factory,3125210,,
490,"In other words: if we fall asleep at the wheel, it will guarantee that the vehicle of democracy will crash into a catastrophic brick wall.",02 Journey,Barrier,democracy,,vehicle,democracy,Democracy,vehicle,Machine/Vehicle,762198,,
1132,"Well, let me say first, that I think we're all advocating for change; we all want to change the status quo, which is George Bush and the Republican domination of Washington for so many years.",04 Power and Control: Human,Leader,Republican,,domination,Republican,Government,domination,Enslavement,2588691,,
467,"In short, the whole thing turned into a vast money hole into which the Pentagon poured billions.",02 Journey,Barrier,money,,hole,money,Wealth,hole,Abyss,2639872,,
175,"I don't think anyone these days seriously suggests that the wealthy are inherently evil just like no one believes Blacks are inherently shiftless, lazy, lying, cheating, ignorant, sex crazed and drug addled.",01 Health and Safety,Threat,wealthy,,evil,wealthy,Wealth,evil,Monster,3206748,,
1308,The Gun Laws Supported By Giron And Morse Are Popular Statewide.,05 Engineering and Business: Engineering,Component,Gun Laws,,Supported,Gun Laws,Control of Guns,Supported,Building,2614661,,
1608,The 113th Congress is a beacon of hope for women like me who have been waiting for stronger representation in government for years now.,11 Darkness and Light,Entity,Congress,,beacon,Congress,Government,beacon,Light,761467,,
46,Which means that gun control did NOT decrease the murder rate... Oh wait.. you even realize it.,01 Health and Safety,Protection,gun control,,decrease,gun control,Control of Guns,decrease,Downward Movement,2896114,,
215,Poverty is destroying lives and communities.,01 Health and Safety,Threat,Poverty,,destroying,Poverty,Poverty,destroying,Physical Harm,1837131,,
1208,"Home / Featured / The War Against Work And Wealth The War Against Work And Wealth Work produces wealth; less work means less wealth, and also less upward mobility for those who drop out of the labor force.",05 Engineering and Business: Business,Product,wealth,,produces,wealth,Wealth,produces,Factory,3125402,,
768,"According to the free market ideology, the best way to fight global hunger and improve the economic situation of farmers in developing countries is through trade and investment liberalization, production for export, and cuts in domestic support.",03 Conflict,Enemy,hunger,,fight,hunger,Poverty,fight,Struggle/War,1802298,,
1589,"Ah well, this election is still young.",10 Human Life Cycle and Family Relations,Entity,election,[entity] is * young,young,election,Elections,young,Life Stage,,,
381,that claim destroys your prior argument that the second amendment protects no gun nor any class of firearms,01 Health and Safety,Threatened,gun,,protects,gun,Guns,protects,Protection,2147028,,
274,"In no way do our efforts challenge the right to bear arms.""",01 Health and Safety,Threatened,the right to bear arms,,challenge,the right to bear arms,Gun Rights,challenge,Competition,2660233,,
1370,"Now that Virginia has decided to ration gun rights to one handgun per month, should West Virginia follow suit?",05 Engineering and Business: Resource,Resource,gun rights,ration [resource],ration,gun rights,Gun Rights,ration,Resource,2378710,,
41,"Wealth cures the former, but you don't get lasting wealth without curing the latter and providing a liberal application of the cheapest energy you can get.",01 Health and Safety,Protection,Wealth,,cures,Wealth,Wealth,cures,Disease/Medicine,762852,,
601,In a world where poverty competes with corruption for tax-payer and gambler (lotto's) money there are innocent victims caught in the cross-fire.,03 Conflict,Conflict,poverty,,competes,poverty,Poverty,competes,Competition,3124764,,
43,"Professor, I cannot agree that democracy is a remedy for discrimination.",01 Health and Safety,Protection,democracy,,remedy,democracy,Democracy,remedy,Disease/Medicine,163996,,
465,America just digs its ersatz-democracy hole deeper with these nationalized political parties that preclude real choice at the polls.,02 Journey,Barrier,democracy,,hole,democracy,Democracy,hole,Abyss,3118179,,
1564,Sad but true a fat cat democracy has taken the voice of the common man.,09 Animals,Domesticated Animal,democracy,fat cat of [domesticated animal],fat cat,democracy,Democracy,fat cat,Animal,761108,,
34,"Democracy may cure the symptoms, but it will not cure what really ails the muslim world.",01 Health and Safety,Protection,Democracy,,cure,Democracy,Democracy,cure,Disease/Medicine,155913,,
1523,"The committee urged the departure of legislation to deal with crowd to affirmher violence , prevent rape of civil rights , to extend skilful and equal rights of citizenship to all Americans , and to pass along discrimi ground and separationism in accommodation , upbringing , study , housing , and unexclusive service .",06 Morality and Justice,Victim,civil rights,rape of [victim],rape,civil rights,Democracy,rape,Theft,152778,,
1560,"Have you read ""Unintended Consequences"" by John Ross? the novel is primarily about the growth of gun control in America, but there is a sidestory of the Warsaw Ghetto and how just a few guns allowed people to tie up a lot of Nazi military resources.",08 Plants,Undesirable Plant,gun control,growth of [undesirable plant],growth,gun control,Control of Guns,growth,Plant,2377050,08 Plants,Undesirable Plant
99,Anyone can call their personal insanity a religion in order to try to get government protection.,01 Health and Safety,Protection,government,,protection,government,Government,protection,Protection,2457555,,
1254,"During Women's History Month, we celebrate the courage, foresight, and resolve of women who have strengthened our democracy.",05 Engineering and Business: Engineering,Built,democracy,,strengthened,democracy,Democracy,strengthened,Building/Strength,1819760,,
873,The US kills democracy and kisses dictators!,03 Conflict,Side,democracy,,kills,democracy,Democracy,kills,Physical Harm,1832069,,
1623,My take on the fall of gun control this week.,12 High and Low,Agent,gun control,fall of [agent],fall of,gun control,Control of Guns,fall,Downward Movement,2377139,,
1141,The unelected civil bureaucracy oppresses the mom and pop businesses which are the backbone of this country.,04 Power and Control: Human,Leader,bureaucracy,,oppresses,bureaucracy,Bureaucracy,oppresses,Enslavement,152578,,
254,"As declining property taxes and transfer fees shrink local government revenues, vital services to low- and moderate-income families may also suffer.",01 Health and Safety,Threat,property taxes,,shrink,property taxes,Taxation,shrink,Resource,2560663,,
1055,What protecting and glorifying guns does is degrade and diminish the importance of the right.,04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2116857,,
514,"For some, the news was received as the liberation of the Legislature:",02 Journey,Change,Legislature,,liberation,Legislature,Government,liberation,Confinement,761307,,
1059,"I'm not sure that glorifying the wealthy, as I understand her claim, is any worse than farm boy is secretly heir to throne.",04 Power and Control: God,God,wealthy,,glorifying,wealthy,Wealth,glorifying,A God,2321959,,
1626,"When horrible killings take place, gun control rockets up on the public agenda, Spitzer said.",12 High and Low,Agent,gun control,[agent] rockets,rockets up,gun control,Control of Guns,rockets,Upward Movement,2621517,,
611,"Democracy competes not against them, but against this consensual authoritarianism.",03 Conflict,Conflict,Democracy,,competes,Democracy,Democracy,competes,Competition/Game,2007191,,
389,"To those who claim that the Congress has no power to pass a bill requiring all States and territories of the United States to enforce the second amendment by requiring them to honor concealed carry permits issued in all other states, the fourteenth amendment was intended to give the Congress exactly such power.",01 Health and Safety,Threatened,second amendment,,enforce,second amendment,Gun Rights,enforce,Rule Enforcer,3769067,,
504,"Wealth burdens a man, because of hereditary wealth you force people to submit to you and society should even out disparity among the classes.",02 Journey,Barrier,Wealth,,burdens,Wealth,Wealth,burdens,Physical Burden,1973854,,
344,"The group, the best-known defender of gun rights in America, scheduled a news conference for Friday.....<snip> I don't believe the NRA.",01 Health and Safety,Threatened,gun rights,defender of [threatened],defender of,gun rights,Gun Rights,defender,Protection,2904220,,
449,"And as democracy advances in the region, a international group of leading Muslim scholars is leading an effort to define an Islamic basis for citizenship and the rights of minorities.",02 Journey,Agent,democracy,,advances,democracy,Democracy,advances,Forward Movement/Journey,761081,,
1150,"This new tax system exploits the poor!""",04 Power and Control: Human,Leader,tax system,,exploits,tax system,Taxation,exploits,Physical Harm,2146249,,
1010,But our goal after an election is won shouldn't be to rub it in the other party's face.,03 Conflict,Winner,election,,won,election,Elections,won,Competition/Game,3515085,,
359,"Perhaps that statement aimed to reject speculation on the part of some US politicians, such as Senator Bob Graham, who attributed Bush's refusal to an effort to protect the Saudi government.",01 Health and Safety,Threatened,government,,protect,government,Government,protect,Protection,2666831,,
12,The smooth flow of international trade is critical to the functioning of the modern food industry.,01 Health and Safety,Beneficial,trade,,flow,trade,Wealth,flow,Body of Water/Movement,2666814,,
322,Has Inflation Hurt the Poor?,01 Health and Safety,Threatened,the Poor,,Hurt,the Poor,Poverty,Hurt,Physical Harm,2879867,,
4,Most experts believe that increased criminal penalties of the kind proposed in the federal law could help play a role in stanching the flow of guns from traffickers to criminals.,01 Health and Safety,Beneficial,guns,,flow,guns,Guns,flow,Body of Water/Movement,2837550,,
104,"After the recent article on the addiction of gun control, a reader left this rebuttal: Odd.",01 Health and Safety,Threat,gun control,,addiction,gun control,Control of Guns,addiction,Addiction,2376902,,
1660,In the process they burn their fingers and even fall deeper down the abyss of poverty.,12 High and Low,Scale,poverty,,abyss,poverty,Poverty,abyss,Abyss,158567,,
1090,"Communism is a system with a totalitarian, absolutist government that rules over everyone's lives, and this must be the natural form of government for people who worship the government.",04 Power and Control: God,God,government,,worship,government,Government,worship,A God,152399,,
1024,Our state government victory can mean a great deal -- if we have the wisdom and courage to use this power to show the real difference between the Party of Obama and the Party of Liberty.,03 Conflict,Winner,Government,,victory,government,Government,victory,Competition/War,3120221,,
1357,"There's no doubt that Iraq's Green Zone government, under heavy pressure from its own people and neighbours such as Iran, extracted significant concessions from US negotiators to the blanket occupation licence in the original text.",05 Engineering and Business: Resource,Extractor,government,,extracted,government,Government,extracted,Forceful Extraction,2466494,,
1197,Trying to sell gun rights to wingnuts is like trying to convince Bin Laden to become a Buddhist and contemplate temple bells with the Dalai Lama.,05 Engineering and Business: Business,Product,gun rights,,sell,gun rights,Gun Rights,sell,Business,2376991,,
572,"Not to mention the irrational card, the honesty card, the despise card, the gun-hater card, the gun-disarming card, the destroy gun groups card, the \you need to get some treatment for that condition\"" card and the far left-wing idiocy card !!""",03 Conflict,Aid,gun-hater,[aid] card,,gun-hater,Guns,card,Game,,,
562,"The arrest of Lima mayor Luis Bedoya, also taped apparently receiving cash, could taint the candidacy of Lourdes Flores of the National Unity ticket.",03 Conflict,Aid,candidacy,,taint,candidacy,Elections,taint,Contamination,1076717,,
155,"I think it is their own media and government (again, the media) forcing ""the evil gun pill"" down their throats.",01 Health and Safety,Threat,gun,,pill,gun,Guns,pill,Medicine,3123948,,
1654,"The story went on to be a classic tale of a customer having a problem, contacting a giant organization, and feeling like their call for help echoed into the unknown abyss of bureaucracy.",12 High and Low,Scale,bureaucracy,,abyss,bureaucracy,Bureaucracy,abyss,Abyss,152575,,
992,"KABUL, Afghanistan (AP) -- Afghans and the international community hailed its presidential election as a triumph of democracy over violence Sunday, despite complaints about ballot shortages and sporadic fraud after millions of people braved a Taliban threat to vote for a new president.",03 Conflict,Winner,democracy,,triumph,democracy,Democracy,triumph,Competition,3118219,,
590,Instead of actually discussing the topic you hide behind the shield of the 2nd Amendment.,03 Conflict,Aid,2nd Amendment,,shield,2nd Amendment,Gun Rights,shield,Protection,3123798,,
238,Erekat: Israeli bullets are killing the peace process Palestinian negotiator Saeb Erekaton has accused Israel of burying the peace process after it escalated military operations in the Gaza Strip and killed over 500 Palestinians.,01 Health and Safety,Threat,bullets,,killing,bullets,Guns,killing,Physical Harm,3014047,,
1189,Perhaps 5â€“10% of firearms trafficking operations involve illegal sales knowingly made by a retail licensee.,05 Engineering and Business: Business,Business,firearms,,operations,firearms,Guns,operations,Machine,2837548,,
1224,A few users here were going about saying that the government can't create wealth or jobs.,05 Engineering and Business: Engineering,Built,wealth,,create,wealth,Wealth,create,Building,2890506,,
1388,Poverty is a crime for which both Labor and Liberal parties in government are responsible.,06 Morality and Justice,Crime,Poverty,,crime,Poverty,Poverty,crime,Crime,761442,,
204,"But I propose the AMaxT entirely to limit the economic damage of taxation, a goal you must consider even if you think it's ""fair"" to take every cent of a rich person's income.",01 Health and Safety,Threat,taxation,,damage,taxation,Taxation,damage,Physical Harm,3121833,,
20,"It’s a huge bureaucratic parasite that feeds directly from the veins of young people – outrageously over-charging them for insurance products they don’t want, to pay off other constituencies, and feed the growing army of government employees.",01 Health and Safety,Beneficial,veins,,,bureaucratic,Bureaucracy,parasite,Parasite,762344,,
1556,"Firstly, it should be held responsible for its choice, and secondly, democracy harvests what it deserves.",08 Plants,Farmer/Gardener,democracy,[farmer/gardener] harvests,harvests,democracy,Democracy,harvests,Crop,163237,,
1014,The right wing and the gun lobby has so won the day on this issue that it would take a Sandy Hook massacre every month for a year or two to reverse the dynamic.,03 Conflict,Winner,gun lobby,,won,gun lobby,Guns,won,Competition/Game,2905096,,
1202,British governments have tended to treat the immediate symptom of poverty--a lack of money--rather than address the societal ills that produce poverty and exacerbate it.,05 Engineering and Business: Business,Product,poverty,,produce,poverty,Poverty,produce,Factory,2592316,,
1372,"During times of economic recession, the government should increase its spending to get money flowing through the economy.",05 Engineering and Business: Resource,Resource,government,,increase,government,Government,increase,Upward Movement,158893,,
387,"If you disagree with a gun ban, then don't come here and defend a gun ban.",01 Health and Safety,Threatened,gun ban,,defend,gun ban,Guns,defend,Protection/Struggle,2890755,,
841,Its a game where only the bureaucracy wins.,03 Conflict,Side,bureaucracy,,wins,bureaucracy,Bureaucracy,wins,Competition,3119618,,
225,Has heavy taxation hurt the Danish and Swedish economies?,01 Health and Safety,Threat,taxation,,hurt,taxation,Taxation,hurt,Physical Harm,159356,,
1251,"Then, there will be more investors coming to Cambodia, and we see that Cambodia is starting to strengthen taxation, so all companies need to evaluate themselves so that it is easy to audit.",05 Engineering and Business: Engineering,Built,taxation,,strengthen,taxation,Taxation,strengthen,Building/Strength,3121820,,
615,This is the historical context of Obama's election victory.,03 Conflict,Conflict,election,,victory,election,Elections,victory,Competition/Game/War,3118905,,
148,"Government spending is financed by taxes, and high tax rates reduce incentives to work, save, and invest.",01 Health and Safety,Threat,tax rates,,reduce,tax rates,Taxation,reduce,Downward Movement/Physical Burden,134764,,
1662,"Defining a poverty line is necessary if we are going to analyze not only the incidence of poverty, but also the depth of poverty (how poor are the poor?) and the duration of poverty (how long are the poor, poor?)",12 High and Low,Scale,poverty,,depth,poverty,Poverty,depth,Abyss,533418,,
11,"Whenever you think or say the word rosperity,a program will begin to run that will clear anything that is anchoring, supporting or creating blocks to accepting, allowing and aligning with the divine ideal flow of prosperity.",01 Health and Safety,Beneficial,prosperity,,flow,prosperity,Wealth,flow,Body of Water/Movement,3028510,,
95,"If one has ""constitutionally protected firearms"" nobody is coming for them as they are indeed constitutionally protected.",01 Health and Safety,Protection,firearms,,protected,firearms,Guns,protected,Protection,2664440,,
1371,"In addition to focusing on building guidelines and establishing standards, the ONC will also look to refine the bureaucracy in place at both the national and state level.",05 Engineering and Business: Resource,Resource,bureaucracy,,refine,bureaucracy,Bureaucracy,refine,Resource,152482,,
453,"That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.",02 Journey,Agent,wealth,,journey,wealth,Wealth,journey,Journey,3122882,,
746,So are you arguing that the founders opposed private gun ownership?,03 Conflict,Enemy,gun ownership,,opposed,gun ownership,Guns,opposed,Struggle,2731631,,
1328,If anything crime goes up and in response cities tighten gun laws.,05 Engineering and Business: Engineering,Facilitator,cities,[facilitator] tighten,tighten,gun laws,Control of Guns,tighten,Machine,2884970,,
1302,Gun control was a central pillar in President Obama’s State of the Union address.,05 Engineering and Business: Engineering,Component,Gun control,[component] was a * pillar,was a central pillar,Gun control,Control of Guns,pillar,Building,2376980,,
495,"A trust (or trusts) can help reduce your overall estate-tax burden, often while achieving other goals as well.",02 Journey,Barrier,estate-tax,,burden,estate-tax,Taxation,burden,Physical Burden,2664993,,
778,"DeLay, a Texas Republican, is the House majority leader and an opponent of gun control.",03 Conflict,Enemy,gun control,,opponent,gun control,Control of Guns,opponent,Struggle/War,2667633,,
315,"A lifelong socialist, King saw poverty and racism intrinsically linked and as thus, gave a convincing argument for democratic socialism being the only hope for the destruction of poverty and racism in America, stating:",01 Health and Safety,Threatened,poverty,,destruction,poverty,Poverty,destruction,Physical Harm,2378123,,
1169,"The GOP, however, does have pretty good record, if you will with buying elections, with massive negative ad spending, and have good grass roots fundraising even when the RNC is lacking focus on them.",05 Engineering and Business: Business,Business,elections,,buying,elections,Elections,buying,Business,2129699,,
297,Let them know that what we want isn't annihilation of guns.,01 Health and Safety,Threatened,guns,,annihilation,guns,Guns,annihilation,Natural Physical Force/Physical Harm,3124071,,
817,Just look at the history of California and gun rights loss.,03 Conflict,Loser,gun rights,,loss,gun rights,Gun Rights,loss,Game,2377475,,
847,"In overcoming the greater opponent of poverty, the Putnam City West Patriots are now able to better focus on their less fearsome opponent on Friday nights.",03 Conflict,Side,poverty,,opponent,poverty,Poverty,opponent,Competition/Game,3120979,,
1361,"Therefore, higher taxation generates an anticipated recession, but it also reduces the expected length of that phase.",05 Engineering and Business: Resource,Extractor,taxation,,generates,taxation,Taxation,generates,Machine,1971555,,
793,"Bruce Springsteen and Pete Seeger have recorded the folk classic ""Hobo's Lullaby"" for ""Give US Your Poor,"" a multi-artist CD devoted to fighting homelessness.",03 Conflict,Enemy,homelessness,,fighting,homelessness,Poverty,fighting,War,1958542,,
1269,"However, Government actions, such as strengthening taxation on foreign oil companies, nationalisation of four huge heavy-oil joint ventures in the Orinoco oil basin and intensifying controls on the economy are generating concerns for many potential investors.",05 Engineering and Business: Engineering,Built,taxation,,strengthening,taxation,Taxation,strengthening,Building/Strength,2468928,,
1379,"First, during the 70s and in the first half of the 80s, the tax rate has increased from 34% to 42%.",05 Engineering and Business: Resource,Resource,tax rate,,increased,tax rate,Taxation,increased,Upward Movement,131065,,
1700,"It's a huge stretch to view these uprisings as a seamless wave of democracy; but it would go too far in the other direction to see them as strictly discrete events, each unrelated to the other.",13 Nature: Body of Water,Flowing,democracy,wave of [flowing],wave of,democracy,Democracy,wave,Body of Water,155237,,
1187,"Guess, that is how India's democracy operates these days, from Natwar Singh's alleged behind the scene activities in Iraq's food for oil programme and other underhand ministerial activities routinely exposed by tehlika.com, it seems that this overly secretive attitude by Indian establishment is something Islamabad will have to bear within the days to come.",05 Engineering and Business: Business,Business,democracy,,operates,democracy,Democracy,operates,Machine,1682067,,
10,It is often lower than the return earned before retirement due to more conservative investment choices to help insure a steady flow of income.,01 Health and Safety,Beneficial,income,,flow,income,Wealth,flow,Body of Water/Movement,1950958,,
932,"There is no understandable logic in opposing a firearm that prevents non owners like teen agers and children, thieves from firing it.",03 Conflict,Side,firearm,,opposing,firearm,Guns,opposing,Struggle,2109814,,
168,"Is it the mainstream left media (like Piers Morgan) who keeps spewing on about ""evil"" guns?",01 Health and Safety,Threat,guns,,evil,guns,Guns,evil,Monster,2163800,,
1146,Understanding each type of plenary power and their affect on tribes will better explain how U.S. democracy oppresses Indians rather than protect them.,04 Power and Control: Human,Leader,democracy,,oppresses,democracy,Democracy,oppresses,Enslavement/Crime,155979,,
240,"Managing Editor James Kelly said the three had been chosen as the people most effective at finding ways to eradicate such calamities as malaria in Africa, HIV and AIDS and the grinding poverty that kills 8 million people a year.",01 Health and Safety,Threat,poverty,[threat] that kill(s),kills,Poverty,Poverty,kills,Physical Harm,58539,,
1485,"On the other hand, in 2000 Jeb Bush stole the election in Florida for his brother, and moved the most conservative and militaristic administration ever.",06 Morality and Justice,Property,election,,stole,election,Elections,stole,Theft,1998769,,
1692,A long standing big fish in the anti-gun pond -- and almost always a very outspoken one.,13 Nature: Body of Water,Body of Water,anti-gun,[body of water] pond,pond,anti-gun,Control of Guns,pond,Body of Water,2376962,,
1236,"What will it take for Congress to strengthen gun control, not loosen the restrictions?",05 Engineering and Business: Engineering,Built,gun control,,strengthen,gun control,Control of Guns,strengthen,Building/Strength,2669171,,
1249,They also serve to improve and strengthen the judiciary by creating in judges a greater awareness of proper judicial behavior.,05 Engineering and Business: Engineering,Built,judiciary,,strengthen,judiciary,Government,strengthen,Building/Strength,596759,,
485,"This inexplicably urgent modification to the budget and all the reasons that got jumbled together for it revealed yet again the excess spending into which the government has fallen, and the notable inefficiency of the ministerial work, particularly in the social area.",02 Journey,Barrier,government,,fallen,government,Government,fallen,Downward Movement,620135,,
269,It's pretty obvious that the pro gun lobby is feeding off of this imaginative gun confiscation issue.,01 Health and Safety,Threatened,gun lobby,,feeding,gun lobby,Gun Rights,feeding,Animal,2731997,,
195,Faculty benefited because the administration reduced the teaching load from twenty-one to fifteen hours.,01 Health and Safety,Threat,the administration,,reduced,the administration,Bureaucracy,reduced,Physical Burden,2651466,,
1069,"3) And finally, all of what Obama is doing flies in the face of, and gives the middle finger to, both the 5th Amendment and the 14th Amendment of our sacred Constitution.",04 Power and Control: God,God,Constitution,,sacred,Constitution,Democracy/Government,sacred,A God,3517859,,
1291,These efforts were also significant in curricular change and in shaping government policies toward higher education in China especially in the area of private education.,05 Engineering and Business: Engineering,Built,government policies,,shaping,government policies,Government,shaping,Shape,2269065,,
470,"The HHS ""conscience"" rule is ""a huge bureaucratic barrier to health care -- a barrier the incoming Obama administration will find difficult to remove,"" aPhiladelphia Daily News editorial says.",02 Journey,Barrier,bureaucratic,,barrier,bureaucratic,Bureaucracy,barrier,Barrier,3119364,,
113,"For this situation, I think the most important thing to the people of New York, is that the legislature get off the addiction of taxes, said Paterson.",01 Health and Safety,Threat,taxes,,addiction,taxes,Taxation,addiction,Addiction,2377627,,
837,"I oppose gun control for other reasons, but as far as I am concerned, the Bill of Rights started dying three decades ago and was finally put out of its misery by the GOP 1 decade ago.",03 Conflict,Side,gun control,,oppose,gun control,Control of Guns,oppose,Competition,2180626,,
508,"The Senate already has one mental health bill before it, and more may be introduced now that the gun control door is closed.",02 Journey,Barrier,door,,door,gun control,Control of Guns,door,Portal,2378705,,
1536,"I know this still will not be enough to satisfy a belief and demand the failed gun control experiment be tried once more, in the non-existent hopes it will work this time.",07 Systematic Explanations,Failed Experiment,gun control,failed [failed experiment] experiment,failed experiment,gun control,Control of Guns,experiment,Science,2138465,,
596,"In the past two years, we successfully challenged anti-voter laws in Florida, Ohio, and Washington.",03 Conflict,Conflict,laws,,challenged,laws,Bureaucracy/Government,challenged,Competition,698608,,
613,They probably won't shut up about it for the next four years and through the 2016 election race.,03 Conflict,Conflict,election,,race,election,Elections,race,Competition/Game,2115502,,
1156,Our democracy provides access to the courts.,04 Power and Control: Human,Servant,democracy,,provides,democracy,Democracy,provides,Business/Servant,761183,,
1137,"They call it ""slavery"" when Wal-Mart offers workers better opportunities than they could find elsewhere, and ""justice"" when government enslaves me by forcibly taking 70% of the fruits of my labor.",04 Power and Control: Human,Leader,government,,enslaves,government,Government,enslaves,Enslavement,761874,,
1000,Good guys with guns for the win.,03 Conflict,Winner,Good guys,[winner] * for the win,for the win,guns,Guns,win,Competition/Game,,,
1131,"If money and advocacy was all it took, then the pro gun control dominance in the press, the millions from the Bloombergs of the world, and the celebrity faces of Hollywood should easily defeat the NRA.",04 Power and Control: Human,Leader,pro gun control,[leader] dominance,dominance,gun control,Control of Guns,dominance,Enslavement,2377214,,
